exercise_item_ID	exercise_type	exercise_instruction	exercise_item	example_solution	response	participant_ID	teacher_correction	teacher_error_annotation
can-vs-may_1	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He was very strong: he <gap> ski all day and dance all night.	could	was able to	EN_1	False	N/A
can-vs-may_1	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He was very strong: he <gap> ski all day and dance all night.	could	could	EN_2	True	N/A
can-vs-may_1	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He was very strong: he <gap> ski all day and dance all night.	could	can	EN_3	False	N/A
can-vs-may_1	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He was very strong: he <gap> ski all day and dance all night.	could	could	EN_4	True	N/A
can-vs-may_1	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	He was very strong: he <gap> ski all day and dance all night.	could	could	EN_5	True	N/A
can-vs-may_2	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The car plunged into the river; the driver <gap> get out but the passengers were drowned.	managed to	could	EN_1	False	N/A
can-vs-may_2	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The car plunged into the river; the driver <gap> get out but the passengers were drowned.	managed to	was able to	EN_2	True	N/A
can-vs-may_2	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The car plunged into the river; the driver <gap> get out but the passengers were drowned.	managed to	could	EN_3	False	N/A
can-vs-may_2	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The car plunged into the river; the driver <gap> get out but the passengers were drowned.	managed to	was able to	EN_4	True	N/A
can-vs-may_2	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	The car plunged into the river; the driver <gap> get out but the passengers were drowned.	managed to	was able to	EN_5	True	N/A
can-vs-may_3	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	<gap> [+ you] walk or did they have to carry you?	Were you able to	Could you	EN_1	False	N/A
can-vs-may_3	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	<gap> [+ you] walk or did they have to carry you?	Were you able to	Were you able to	EN_2	True	N/A
can-vs-may_3	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	<gap> [+ you] walk or did they have to carry you?	Were you able to	Could you	EN_3	False	N/A
can-vs-may_3	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	<gap> [+ you] walk or did they have to carry you?	Were you able to	Could you	EN_4	False	N/A
can-vs-may_3	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	<gap> [+ you] walk or did they have to carry you?	Were you able to	Could	EN_5	False	N/A
can-vs-may_4	gapFilling	CAN/COULD/Alternative forms. Fill in the right form. Pay attention to specific and general uses of ability and permission. Additional words to be included appear between square brackets in the sentence.	I had no key so I <gap> [not] lock the door.	couldn't	could not	EN_1	True	N/A
